Administración de Asuntos Energéticos (Dpto. Desarrollo Económico),"El Plan de Reorganización Número 4 de 9 de diciembre de 1993, mediante el Artículo 7 adscribe a la Administración de Asuntos de Energía (AAE) como parte del Departamento de Recursos Naturales y Ambientales. La Oficina de Energía de Puerto Rico fue creada, en su origen, por la Ley Núm. 128 de 29 de junio de 1977, según enmendada, estableciendo en dicho estatuto sus propósitos, funciones y deberes. Implantar la política pública para el desarrollo de un futuro energético más eficiente, más económico y ambientalmente sostenible en términos de conservación de energía, así como desarrollar fuentes alternas y renovables de energía y programas relacionados al manejo, utilización, protección y conservación de los recursos energéticos de Puerto Rico.","209 Calle Manuel Camuñas, Esq. Ave César González, Urb. Industrial Tres Monjitas",Hato Rey,,787-332-0914,787-332-0915,http://www.aae.pr.gov
Administración de Asuntos Federales de Puerto Rico (PRFAA),La misión de PRFAA es representar los intereses de los puertorriqueños en los Estados Unidos para así promover su bienestar en la Isla y en nuestras comunidades en los 50 estados.,"1100 17th Street, NW, Suite 800","Washington, DC",20036,(202) 778-0710,(202) 778-0721,http://www.prfaa.com/
Administración de Compensaciones por Accidentes de Automoviles (ACAA),"La Ley Orgánica de la Administración de Compensación por Accidentes de Automóviles es la Ley Núm. 138 del 26 de junio de 1968, según enmendada, conocida como ""Ley de Protección Social por Accidentes de Automóviles"". Reducir los efectos económicos y sociales que tienen los accidentes de tránsito sobre la familia y demás dependientes de sus víctimas, proporcionando a éstas: Servicios Médico-Hospitalarios, Compensación por Pérdida de Ingreso (incapacidad),Compensación por Muerte. Compensación por Desmembramiento, Compensación por Gastos Fúnebres,",Arterial Hostos Esquina #249 Ave. Chardón piso 10,Hato Rey,918,(787) 759-8989,(787) 753-1713,http://www.acaa.gobierno.pr/
Administración de Corrección (Dpto. Corrección),"La Administración de Corrección se creó por la Ley Núm. 116 de 22 de julio de 1974; según enmendada. Está adscrita al Departamento de Corrección y Rehabilitación conforme con el Plan de Reorganización Número 3 de 1993. Contribuir a garantizar la seguridad pública mediante la custodia, tratamiento y servicios dirigidos a la rehabilitación de las personas convictas y confinadas por órdenes de los Tribunales de Justicia Estatal y Federal en nuestras instituciones y en la libre comunidad.","Urb. Industrial Tres Monjitas, Ave. Teniente César González Esq. Calaf",San Juan,,787) 273-6464; (787) 273-6464; (787) 273-6464,(787) 792-7677,http://www.ac.gobierno.pr
Administración de Desarrollo Laboral (ADL),"Ley Núm. 15 del 14 de abril de 1931, Ley Orgánica del Departamento del Trabajo de Puerto Rico. Esta fue ratificada por la Constitución del Estado Libre Asociado de Puerto Rico en el 1952. La Ley Núm. 100 del 23 de junio de 1977, lo redenomina como Departamento del Trabajo y Recursos Humanos. El Plan de Reorganización 2 de mayo de 1994, crea la estructura organizativa. ""El Plan de Reorganizacion Num. 4 del 9 de diciembre de 2011 enmienda la Ley 97-1991, segun enmendada que crea al Consejo de Desarrollo Ocupacional y Recursos Humanos (CDORH),para redenominarlo como la Administracion de Desarrollo Laboral, a fin de atemperar la ley a las disposiciones federales aplicables y asegurar la efectiva implantacion, diseño, promulgacion e instauracion de la politica publica en relacion con el Sistema de Desarrollo Ocupacional y Recursos Humanos"".","Ave. FD Roosvelt #355, Fomento Industrial, Piso 2","Hato Rey, PR, 00918",,(787) 754-5504,(787) 763-0195,http://adl.pr.gov
Administración de Desarrollo Socioeconómico de la Familia (Dpto. Familia),"La Administración de Desarrollo Socioeconómico de la Familia se creó mediante el Plan de Reorganización Número 1 aprobado el 28 de julio de 1995. Facilitar oportunidades de desarrollo a las personas en desventaja social y económica para que las familias en Puerto Rico logren la autosuficiencia, la integración al sistema social de manera productiva, además de la buena convivencia familiar y comunitaria.","Ave. Ponce de León Núm. 800, Capitol Office Building, piso 8 y 9",Miramar,,(787) 289-7600,(787) 289-1199,http://servicios.adsef.pr.gov/
Administración de Familias y Niños (Dpto. Familia),"Plan de Reorganización Número 1 de 28 de julio de 1995, para redenominar y reorganizar el Departamento de Servicios Sociales como Departamento de la Familia. Promover y apoyar los esfuerzos de individuos, familias y comunidades para que aporten a su propio desarrollo y al de la sociedad. A tales fines, facilita la prestación de servicios sociales, educativos y preventivos, dirigidos a lograr una mejor y más efectiva participación, igualdad y justicia social.",Edificio Lila Mayoral #306 Ave. Barbosa,San Juan,00919-4090,(787) 625-4900,(787) 625-4957,http://www.adfan.pr.gov
Administración de Instituciones Juveniles (Dpto. Corrección),"Ley Núm. 154 de agosto de 1988, según enmendada, ""Ley Orgánica de la Administración de Instituciones Juveniles"". La Ley Núm. 88 del 9 de julio de 1986, conocida como ""Ley de Menores"", establece en el inciso (b) Artículo 35, el derecho de cada menor a recibir servicios o tratamiento de carácter individualizado que responda a sus necesidades particulares y propenda a su eventual rehabilitación. Conforme con el Plan de Reorganización Número 3 del 9 de diciembre de 1993, la Administración de Instituciones Juveniles se adscribe como componente operacional del Departamento de Corrección y Rehabilitación. Proteger la seguridad pública del País, responsabilizar a los menores por las faltas cometidas y proveerles los servicios adecuados para que desarrollen las destrezas que les permitan regresar a la libre comunidad.",Urb. Industrial Tres Monjitas Ave. Teniente César González Esq. Calaf,San Juan,00919-0759,765-3394,(787) 765-3394,http://ac.gobierno.pr/correccion/agencias/aij/proposito
Administración de la Industria y el Deporte Hípico (Dpto. Desarrollo Económico),"Ley Núm. 83 de 2 de julio de 1987, según enmendada, crea la Ley Núm. 129 del 23 de julio de 1974, según enmendada crea la Escuela Vocacional Hípica. El Plan de Reorganización Núm. 4 de 22 de junio de 1994, crea el Departamento de Desarrollo Económico y Comercio y adscribe a dicho Departamento la Administración como un componente operacional. Supervisar, fiscalizar y fortalecer toda la actividad hípica en Puerto Rico para proteger la inversión del público y entidades que participan de dicho deporte.","Avenida 65 Infantería, Esq. Calle Rafael Arcelay,",Río Piedras,929,(787) 768-2005,(787) 762-1105,http://www.adh.pr.gov
Administración de los Sistemas de Retiro de los Empleados del Gobierno y la Judicatura (ASR),Administrar y custodiar un fondo de retiro para que empleados del Gobierno y la Judicatura cuenten con un ingreso asegurado tras haberle dedicado años fructíferos de su vida al bien común.,Ave. Ponce de León #437,Hato Rey,918,1-877-777-2020,(787) 250-7251,http://www.asr.pr.gov
