Certificaciones de Cumplimiento de la Administración Para el Sustento de Menores,ASUME,http://www2.pr.gov/Pages/informaciondeformulariosprgovSolicituddeCertificaci%C3%B3ndeCumplimientodeASUME.aspx,Sin Costo
Plan de Negocio,CCE,"Informativo
http://www.comercioyexportacion.com/explorar/establecer/pasos-para-establecer-un-negocio.html ",Sin Costo - pasos para preparar plan de negocio
Resolución Corporativa autorizando a la persona a firmar el contrato,CCE,"Formulario
http://www.comercioyexportacion.com/images/Hoja_de_requisitos_de_MC_rev_mar_2014.pdf",
Certificación Reciente de Negativa de Deuda por Todos los Conceptos del CRIM,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50
Certificación Reciente Negativa Propiedad Inmueble del CRIM (con estado de cuenta) y/o Copia del Contrato de Arrendamiento,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50
Certificación de No Deuda del Municipio donde la empresa opera o llevará a cabo su operación,CRIM,http://www.crimpr.net/crimdnn,
Certificado de “Good Standing” ,Departamento de Estado,https://prcorpfiling.f1hst.com/,$100 con fines de lucro y $10 sin fines de lucro
Certificado de Registro del Departamento de Estado,Departamento de Estado,https://prcorpfiling.f1hst.com/,$110 con fines de lucro y $7 sin fines de lucro
Registro de Transacciones comerciales,Departamento de Estado,http://www2.pr.gov/agencias/estado/Pages/RegUCC.aspx,
Certificación de Radicación de Planillas de los últimos 5 años,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo
Certificación del Registro de Comerciantes,Departamento de Hacienda,"Registro - https://ivuregistro.hacienda.gobierno.pr/RegistroComerciantes/registro1.aspx
Aplicación PICO - https://comerciantes.hacienda.pr.gov/",
Certificación Reciente de No Deuda Contributiva,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo
Estados Financiero o Copia Ultima Planilla de Contribución sobre Ingresos (si aplica),Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin costo
Certificación Actualizada de No Deuda del Seguro Choferil del DTRH (si aplica),DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo
Certificación Actualizada de No Deuda del Seguro por Desempleo e Incapacidad,DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo
Últimas dos (2) Planillas Trimestrales del DTRH con evidencia de pago (si aplica),DTRH ,https://patronos.dtrh.gobierno.pr/patronos/acercade.aspx?Id=228&M=286&F=12,registro
Licencia o Pasaporte,Licencia » DTOP / Pasaporte » US Department of State,"http://www.dtop.gov.pr/serviciosenlinea/
https://es.usps.com/shop/apply-for-a-passport.htm",Variable
Declaración de Volumen de Negocio,Municipio,"Formulario de acuerdo a municipio, no hay un estandar.",
Patente Municipal Vigente,Municipio,"Patente Municipal-Una vez tienes tu permiso de uso, debes ir al municipio en donde establecerás tu negocio para solicitar la patente municipal. Muchos municipios además del Permiso de Uso, te piden que lleves la última planilla personal radicada en Hacienda, certificación negativa de deuda de Hacienda y del CRIM. Mi recomendación, antes de ir al Municipio a solicitar patente, llama antes por teléfono, pide la división de patentes y pregunta cuáles son los documentos que debes llevar contigo para solicitar patente por primera vez. De esta manera te ahorras tiempo.",
Permiso de Uso,OGPe / Municipio,https://www.sip.pr.gov/web/guest/ciudadano/permisos/uso/,"$25 -  permisos de uso residenciales
$100 - permiso de uso comercial
"
"Permiso Especial (Salud, EPA, DRNA, Instituto de Cultura, etc.)","OGPe, Agencias Estatales o Federales","https://www.sip.pr.gov/web/guest/ciudadano/recomendaciones-certificaciones/incendios
https://www.sip.pr.gov/web/guest/ciudadano/recomendaciones-certificaciones/salud
https://www.sip.pr.gov/web/guest/ciudadano/documentos-ambientales","Prevención de Incendios - entre $50 y $100 (dependiendo de la cantidad de pies cuadrados del área de construcción)
Salud - $35"
 Copia del Reglamento Interno de la cadena aprobado por su Junta de Directores,Privado,,
 Evidencia de Inscripción en el Registro de Marcas de Fábrica del Departamento de Estado si intenta crear una marca de fábrica para el producto que vende,Privado,,
 Propuesta o solicitud sometida para la participación de subasta,Privado,,
Actividades endosadas y certificadas como ecoturísticas,Privado,,
Aviso al Público en original,Privado,,
Carta Compromiso firmada por todos los integrantes de la cadena  ,Privado,,
Carta de intención para solicitar al programa (previo a comenzar a efectuar gastos elegibles para los incentivos),Privado,,
Certificación de elegibilidad de la Autoridad de Desperdicios Sólidos.,Privado,,
Certificación de Elegibilidad de la Compañía de Desarrollo Industrial (PRIDCO),Privado,,
Certificación de Inspección del Cuerpo de Bomberos de Puerto Rico,Privado,,
Certificación Negativa de Deuda de La Compañía de Turismo - División de Impuesto por Habitación,Privado,,
Certificado de Antecedentes Penales,Privado,,
Certificado de Elegibilidad del Departamento de Recreación y Deporte,Privado,,
Certificado de seguro de responsabilidad pública expedido por una agencia autorizada por el Comisionado de Seguros de Puerto Rico que incluya a la CTPR como asegurada adicional y contenga un relevo de responsabilidad pública,Privado,,
Contribución de capital por parte de Inversionistas por acciones o participaciones,Privado,,
Copia aprobada por OGPe de los planos del Proyecto,Privado,,
Costo total del proyecto,Privado,,
Crédito personal,Privado,,
Cumplir con los Estándares de la OAJ,Privado,,
Declaración Jurada del solicitante,Privado,,
Declaración Jurada exponiendo las razones por la cuales no se acompaña alguna de la información antes indicada,Privado,,
Detalle de envejecimiento (aging) de cuentas por cobrar,Privado,,
Donativos y grants vigentes con copia de los contratos otrogados,Privado,,
Dos cartas de referencias bancarias y comerciales de la peticionaria dirigidas al Director de la Oficina de Exención Contributiva Industrial,Privado,,
Empleos a generarse y nómina anual: Durante la Construcción y Operación,Privado,,
Endoso conceptual y financiero de la Compañía de Turismo,Privado,,
Endoso del Departamento de Agricultura,Privado,,
Endoso del Secretario de Hacienda,Privado,,
